SantafÇ de Bogot†
Puerto Nari§o
Leticia
Medell°n
Abejorral
Abriaqui
Alejandr°a
Amag†
Amalfi
Andes
Angel¢polis
Angostura
Anor°
Antioquia
Anza
Apartad¢
Arboletes
Argelia
Armenia
Barbosa
Belmira
Bello
Betania
Betulia
Bol°var
Brise§o
Buritic†
C†ceres
Caicedo
Caldas
Campamento
Ca§asgordas
Caracol°
Caramanta
Carepa
Carmen de Viboral
Carolina
Caucasia
Chigorod¢
Cisneros
Cocorn†
Concepci¢n
Concordia
Copacabana
Dabeiba
Don Mat°as
EbÇjico
El Bagre
Entrerr°os
Envigado
Fredonia
Frontino
Giraldo
Girardota
G¢mez Plata
Granada
Guadalupe
Guarne
GuatapÇ
Heliconia
Hispania
ItagÅ°
Ituango
Jard°n
Jeric¢
La Ceja
La Estrella
La Pintada
La Uni¢n
Liborina
Maceo
Marinilla
Montebello
Murind¢
Mutat†
Nari§o
Necocl°
Nech°
Olaya
Pe§ol
Peque
Pueblorrico
Puerto Berr°o
Puerto Nare
Puerto Triunfo
Remedios
Retiro
Rionegro
Sabanalarga
Sabaneta
Salgar
San AndrÇs
San Carlos
San francisco
San Jer¢nimo
San JosÇ de Monta§a
San Juan de Urab†
San Luis
San Pedro
San Pedro de Urab†
San Rafael
San Roque
San Vicente
Santa B†rbara
Santa Rosa de Osos
Santo Domingo
Santuario
Segovia
Sons¢n
Sopetr†n
T†mesis
Taraz†
Tarso
Titirib°
Toledo
Turbo
Uramita
Urrao
Valdivia
Valpara°so
Vegachi
Venecia
Vig°a del Fuerte
Yal°
Yarumal
Yolomb¢
Yond¢ (Casabe)
Zaragoza 895
Arauca
Arauquita
Cravo Norte
Fortul
Puerto Rond¢n
Fortul
Puerto Rond¢n
Saravena
Tame
Barranquilla
Baranoa
Campo de la Cruz
Candelaria
Galapa
Juan de Acosta
Luruaco
Malambo
Manat°
Palmar de Varela
Pioj¢
Polonuevo
Ponedera
Puerto Colombia
Repel¢n
Sabanagrande
Sabanalarga
Santa Luc°a
Santo Tom†s
Soledad
Suan
Tubara
Usiacur°
Cartagena
Ach°
Altos del Rosario
Arenal
Arjona
Arroyohondo
Barranco de Loba
Calamar
Cantagallo
Cicuto
C¢rdoba
Clemencia
El Carmen de Bol°var
El Guamo
El Pe§¢n
Hatillo de Loba
Magangue
Mahates
Margarita
Mar°a la Baja
Montecristo
Momp¢s
Morales
Pinillos
Regidor
R°o Viejo
San Crist¢bal
San Estanislao
San Fernando
San Jacinto
San Jacinto del Cauca
San Juan Nepomuceno
San Mart°n de Loba
San Pablo
Santa Catalina
Santa Rosa
Santa Rosa del Sur
Simit°
Soplaviento
Talaigua Nuevo
Tiquisio (Puerto Rico)
Turbaco
Turban†
Villanueva
Zambrano
Tunja
Almeida
Aquitania
Arcabuco
BelÇn
Berbeo
Beteitiva
Boavita
Boyac†
Brise§o
Buenavista
Busbanza
Caldas
Campohermoso
Cerinza
Chinavita
Chiquinquir†
Chiscas
Chita
Chitaranque
Chivata
CiÇnaga
Combita
Coper
Corrales
Covarachia
Cubar
Cucaita
Cuitiva
Ch°quiza
Chivor
Duitama
El Cocuy
El Espino
Firavitoba
Floresta
Gachantiv†
G†meza
Garagoa
Guacamayas
Guateque
Guayat†
Guic†n
Iza
Jenesano
Jeric¢
Labranzagrande
La Capilla
La Victoria
La Ubita
Villa de Leyva
Macanal
Marip°
Miraflores
Mongua
Mongu°
Moniquir†
Motavita
Muzo
Nobsa
Nuevo Col¢n
Oicat†
Otanche
Pachavita
P†ez
Paipa
Pajarito
Panqueba
Pauna
Paya
Paz de R°o
Pesca
Pisva
Puerto Boyac†
Quipama
Ramiquir°
R†quira
Rond¢n
Saboy†
S†chica
Samac†
San Eduardo
San JosÇ de Pare
San Luis de Gaceno
San Mateo
San Miguel de Sema
San Pablo de Borbur
Santana
Santa Mar°a
Santa Rosa de Viterbo
Santa Sof°a
Sativanorte
Sativasur
Siachoque
Soat†
Socot†
Socha
Sogamoso
Somondoco
Sora
Sotaquir†
Sorac†
Susac¢n
Sutamarch†n
Sutatenza
Tasco
Tenza
Tiban†
Tibasosa
Tinjac†
Tipacoque
Toca
Togu°
Topaga
Tota
Tunungua
TurmequÇ
Tuta
Tutaz†
Umbita
Ventaquemada
Viracach†
Zetaquir†
Manizales
Aguadas
Anserma
Aranzazu
Belalc†zar
Chinchina
Filadelfia
La Dorada
La Merced
Manzanares
Marmato
Marquetalia
Marulanda
Neira
P†cora
Palestina
Pensilvania
Riosucio
Risaralda
Salamina
Saman†
San JosÇ
Sup°a
Victoria
Villamar°a
Viterbo
Caquet† 18 Florencia
Albania
BelÇn de los Andaqu°es
Cartagena del Chair†
Curillo
El Doncello
El Paujil
La Monta§ita
Mil†n
Morelia
Puerto Rico
San JosÇ del Fragua
San Vicente del Cagu†n
Solano
Solita
Valpara°so
Yopal
Aguazul
Chameza
Hato Corozal
La Salina
Man°
Monterrey
Nunch°a
OrocuÇ
Paz de Ariporo
Pore
Recetor
Sabalarga
Sacama
San Luis de Palenque
T†mara
Tauramena
Trinidad
Villanueva
Popay†n
Almaguer
Argelia
Balboa
Bol°var
Buenos Aires
Cajib°o
Caldono
Caloto
Corinto
El Tambo
Florencia
Guapi
Inz†
Jambal¢
La Sierra
La Vega
L¢pez (Micay)
Mercaderes
Miranda
Morales
Padilla
P†ez (Belalcazar)
Pat°a (El Bordo)
Piamonte
Piendam¢
Puerto Tejada
PuracÇ (Coconuco)
Rosas
San Sebasti†n
Santander de Quilichao
Santa Rosa
Silvia
Sotara (Paispamba)
Su†rez
Timb°o
Timbiqu°
Toribio
Totoro
Valledupar
Aguachica
Agust°n Codazzi
Astrea
Becerril
Bosconia
Chimichagua
Chiriguan†
Curuman°
El Copey
El Paso
Gamarra
Gonz†lez
La Gloria
La Jagua de Ibirico
Manaure Balc¢n Cesar
Pailitas
Pelaya
Pueblo Bello
R°o de Oro
La Paz (Robles)
San Alberto
San Diego
San Mart°n
Tamalameque
Monter°a
Ayapel
Buenavista
Canalete
CeretÇ
Chima
Chin£
CiÇnaga de Oro
Cotorra
La Apartada (Frontera)
Lorica
Los C¢rdobas
Momil
Montel°bano
Monitos
Planeta Rica
Pueblo Nuevo
Puerto Escondido
Puerto Libertador
Pur°sima
Sahagun
San AndrÇs Sotavento
San Antero
San Bernardo del Viento
San Carlos
San Pelayo
Tierralta
Valencia
Agua de Dios
Alb†n
Anapoima
Anolaima
Arbel†ez
Beltr†n
Bituima
Bojac†
Cabrera
Cachipay
Cajic†
Caparrap°
C†queza
Carmen de Carupa
Chaguan°
Ch°a
Chipaque
Choach°
Chocont†
Cogua
Cota
Cucunub†
El Colegio
El Pe§¢n
El Rosal
Facatativ†
F¢meque
Fosca
Funza
F£quene
Fusagasug†
Gachal†
Gachancip†
Gachet†
Gama
Girardot
Granada
Guachet†
Guaduas
Guasca
Guataqu°
Guatavita
Guayabal de Siquima
Guayabetal
GutiÇrrez
JerusalÇn
Jun°n
La Calera
La Mesa
La Palma
La Pe§a
La Vega
Lenguazaque
Machet†
Madrid
Manta
Medina
Mosquera
Nari§o
Nemoc¢n
Nilo
Nimaima
Nocaima
Venecia (Ospina PÇrez)
Pacho
Paime
Pandi
Paratebueno
Pasca
Puerto Salgar
Pul°
Quebradanegra
Quetame
Quipile
Rafael
Ricaurte
San Antonio de Tequendama
San Bernardo
San Cayetano
San Francisco
San Juan de Rioseco
Sasaima
SesquilÇ
Sibate
Silvania
Simijaca
Soacha
Sop¢
Subachoque
Suesca
Supat†
Susa
Sutatausa
Tabio
Tausa
Tena
Tenjo
Tibacuy
Tibirita
Tocaima
Tocancip†
Topaip°
Ubal†
Ubaque
UbatÇ
Une
Ètica
Vergara
Viani
Villag¢mez
Villapinz¢n
Villeta
Viot†
Yacop°
Zipac¢n
Zipaquir†
Quibd¢
Acand°
Alto Baud¢ (Pie de Pato)
Atrato (Yuto)
Bagad¢
Bah°a Solano (M£tis)
Bajo Baud¢ (Pizarro)
Bojay† (Bellavista)
Cant¢n de San Pablo
Condoto
El Carmen
El Litoral de San Juan
Itsmina
Jurad¢
Llor¢
Novita
Nuqu°
Riosucio
San JosÇ del Palmar
Sip°
Tad¢
Ungu°a
Guain°a 94 In°rida
Guaviare 95 San JosÇ del Guaviare
Calamar
El Retorno
Miraflores
Neiva
Acevedo
Agrado
Aipe
Algeciras
Altamira
Baraya
Campoalegre
Colombia
El°as
Garz¢n
Gigante
Guadalupe
Hobo
Iquira
Isnos
La Argentina
La Plata
N†taga
Oporapa
Paicol
Palermo
Palestina
Pital
Pitalito
Rivera
Saladoblanco
San Agust°n
Santa Mar°a
Suaz†
Tarqui
Tesalia
Tello
Teruel
Timan†
Villavieja
Yaguar†
Riohacha
Barrancas
Dibulla
Distracci¢n
El Molino
Fonseca
Hatonuevo
Maicao
Manaure
San Juan del Cesar
Uribia
Urumita
Villanueva
Santa Marta
Aracataca
Ariguan° (El Dif°cil)
Cerro San Antonio
Chivolo
CiÇnaga
El Banco
El Pi§¢n
El RetÇn
Fundaci¢n
Guamal
Pedraza
Piji§o del Carmen
Pivijay
Plato
Publoviejo
Remolino
Salamina
San Sebasti†n de Buuenavista
San Zen¢n
Santa Ana
Sitionuevo
Tenerife
Meta 50 Villavicencio
Acacias
Barranca de Up°a
Cabuyaro
Castilla la Nueva
Cubarral
Cumaral
El Calvario
El Castillo
El Dorado
Fuente de Oro
Granada
Guamal
Mapirip†n
Mesetas
La Macarena
La Uribe
Lejan°as
Puerto Concordia
Puerto Gait†n
Puerto L¢pez
Puerto Lleras
Puerto Rico
Restrepo
San Carlos de Guaroa
San Juan de Arama
San Juanito
San Mart°n
Vistahermosa
Pasto
Alb†n (San JosÇ)
Aldana
Ancuy†
